PROPERTY_ID,LOCATION,TOTAL_AREA,PRICE,PREDICTED_PRICE
13904,"Dlf Capital Greens ,Dle Industrial Area, Kirti Nagar,New Delhi",1650,28000000,28204000.0
13905,"Sector 12 Dwarka, New Delhi",1725,20000000,19956000.0
13906,"Not Available,Block F, Patparganj,New Delhi",600,3300000,3294700.0
13907,"Sector 12 Dwarka, New Delhi",1620,18000000,17979000.0
13908,"B-1115,Vasant Kunj, New Delhi",1240,21500000,21565000.0
13909,"Kailash Hills ,Garhi, East Of Kailash,New Delhi",1200,17200000,17200000.0
13910,"Uttam Nagar West, Uttam Nagar,New Delhi",450,2100000,2100500.0
13911,"Mangalpuri I, Palam,New Delhi",1350,8500000,8498000.0
13912,"E7 Building,Jamia Nagar, New Delhi",900,7000000,7000000.0
13913,"New Seelampur, Shahdara,New Delhi",405,3500000,3488500.0
13914,"Ak Market, Vikaspuri,New Delhi",1250,13500000,13415000.0
13915,"Classic Apartments,Sector 12 Dwarka, New Delhi",4500,60500000,63027000.0
13916,"Block E, Krishna Nagar,New Delhi",960,4500000,4508000.0
13917,"Builder Floor Hastsal ,Rajan Enclave, Hastsal,New Delhi",600,2600000,2601000.0
13918,"Block J, Chittaranjan Park,New Delhi",1250,17500000,17529000.0
13919,"Block Bg 1, Paschim Vihar,New Delhi",1200,15900000,15930000.0
13920,"Ram Nagar, Shahdara,New Delhi",895,2200000,2197000.0
13921,"Saraswati Kunj ,Block F, Patparganj,New Delhi",900,10500000,10511000.0
13922,"Block F, Aya Nagar,New Delhi",585,5000000,5025000.0
13923,"Other Property,Basai Darapur, Bali Nagar,New Delhi",675,5500000,5520310.0
13924,"Nayak Pura, Bijwasan,New Delhi",405,1701000,1687980.0
13925,"Uttam Nagar West, Uttam Nagar,New Delhi",810,3060000,3057900.0
13926,"Ghitorni, New Delhi",327,1504000,1499710.0
13927,"Builders Elegance,Bhogal, Jangpura,New Delhi",552,4425000,4421250.0
13928,"Tilaknagar,Block 22, Tilak Nagar,New Delhi",1200,7500000,7500000.0
13929,"Mangalpuri I, Palam,New Delhi",1000,2400000,2379000.0
13930,"Sector 14 Dwarka, New Delhi",675,2250000,2255610.0
13931,"Radha Vihar, Mukundpur,New Delhi",900,3000000,3000000.0
13932,"Pratap Nagar ,Maya Enclave, Hari Nagar,New Delhi",1361,13500000,13520000.0
13933,"Surya Vihar, Deenpur,New Delhi",650,4800000,4782500.0
13934,"Sadatpur Extension, Karawal Nagar,New Delhi",747,6000000,6011000.0
13935,"Dharampura, Najafgarh,New Delhi",747,8500000,8489000.0
13936,"Burari Garhi, Burari,New Delhi",450,1800000,1805500.0
13937,"Ip Extension, Patparganj,New Delhi",1200,14000000,13985000.0
13938,"Mig Dda Flats Rohini,Sector 18B, Sector 15 Rohini,New Delhi",800,9000000,9006000.0
13939,"Khadda Colony, Jaitpur,New Delhi",252,1550000,1523500.0
13940,"Narela Mandi, Narela,New Delhi",850,2700000,2693280.0
13941,"Devli, Sangam Vihar,New Delhi",650,2550000,2560500.0
13942,"Jasola, New Delhi",1345,8500000,8504500.0
13943,"Chirag Dilli, New Delhi",2000,1900000,2040490.0
13944,"Amar Colony, Lajpat Nagar,New Delhi",900,16000000,16043000.0
13945,"Prakash,Garhi, East Of Kailash,New Delhi",450,3800000,3812000.0
13946,"Manohar Nagar, Vikaspuri,New Delhi",1500,20000000,19985000.0
13947,"Navjeevan Vihar, Malviya Nagar,New Delhi",11421,200000000,194400000.0
13948,"Block C 4, Jahangirpuri,New Delhi",900,5800000,5800890.0
13949,"Pocket F, Mayur Vihar Ii,New Delhi",1026,7500000,7518000.0
13950,"Burari Garhi, Burari,New Delhi",1550,4700000,4607000.0
13951,"Pandav Nagar, New Delhi",800,5000000,5000000.0
13952,"Saroop Nagar, Bhalswa,New Delhi",225,980000,983950.0
13953,"Indra Enclave, Neb Sarai,New Delhi",1800,8000000,8000000.0
13954,"Poorvi Shalimar Bagh, Shalimar Bagh,New Delhi",1100,21500000,21194000.0
13955,"Ghonda Patti, Shahdara,New Delhi",405,4900000,4810000.0
13956,"Vidya Apartments,Rbi Colony, Paschim Vihar,New Delhi",871,11000000,11096000.0
13957,"Uttam Nagar, Bindapur,New Delhi",360,2550000,2549500.0
13958,"Vasant Vihar, New Delhi",1940,33000000,33301000.0
13959,"Shyam Vihar,Sector 12 Dwarka, New Delhi",1050,9000000,9008000.0
13960,"Shivaji Enclave ,Block E, Rajouri Garden,New Delhi",271,2650000,2646000.0
13961,"Ganga Vihar, Gokalpur,New Delhi",534,6600000,6629500.0
13962,"Sewak Park, New Delhi",900,5200000,5204000.0
13963,"Sewak Park, New Delhi",2050,8000000,8017000.0
13964,"Pocket R ,Taharpur Village, Dilshad Garden,New Delhi",700,5390000,5364950.0
13965,"A5 Block, Paschim Vihar,New Delhi",400,3500000,3503000.0
13966,"Part 1, Mayur Vihar,New Delhi",320,2000000,2003000.0
13967,"Kamp Dwarka Convention,Sector 28 Dwarka, New Delhi",425,3300000,3305000.0
13968,"Kamp Dwarka Convention,Sector 28 Dwarka, New Delhi",425,3300000,3305000.0
13969,"Kamp Dwarka Convention,Sector 28 Dwarka, New Delhi",425,3300000,3305000.0
13970,"Sonia Vihar Extension, Sonia Vihar,New Delhi",500,1700000,1700000.0
13971,"Mehrauli, New Delhi",350,3000000,2980250.0
13972,"Gandhi Nagar Delhi ,Silampur, Shahdara,New Delhi",1080,30000000,30060000.0
13973,"Alaknanda, New Delhi",1900,19000000,18951000.0
13974,"Jj Colony No 2, Nangloi,New Delhi",1100,1500000,1626800.0
13975,"Block G, Vinod Nagar East,New Delhi",450,12000000,11950000.0
13976,"Narela Mandi, Narela,New Delhi",2160,6500000,6718000.0
13977,"Nai Basti, Lado Sarai,New Delhi",720,7000000,7039000.0
13978,"Badiwala Kua, Mehrauli,New Delhi",350,3000000,3000000.0
13979,"Shastri Nagar, New Delhi",450,2500000,2498500.0
13980,"Sonia Vihar Extension, Sonia Vihar,New Delhi",600,1700000,1700100.0
13981,"Dilshad Colony New Simapuri, Dilshad Garden,New Delhi",800,7000000,7000000.0
13982,"Building ,Shiv Vihar, Karawal Nagar,New Delhi",361,1100000,1101000.0
